template_id,suite,visibility,full_context,no_memory,memory_discriminativeness_index,simple_retrieval,structured_agentic,memory_gap_closure_b2,memory_gap_closure_b3,baseline_span,structured_over_retrieval,memory_benefit,irrelevant_memory_stability,memory_harm,harm_resistance,recommendation,reasons,causal_risks
MIB-EPI-010,epistemic,private_holdout,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-EXP-004,experience,hidden_eval,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-EXP-005,experience,hidden_eval,0.1,0.1,0.0,0.1,0.1,,,0.0,0.0,0.0,1.0,,,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-EXP-006,experience,hidden_eval,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-EXP-007,experience,hidden_eval,0.3,0.3,0.0,0.3,0.3,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-EXP-008,experience,private_holdout,0.1,0.1,0.0,0.1,0.1,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-RET-005,recall,hidden_eval,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-RET-006,recall,hidden_eval,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-RET-007,recall,hidden_eval,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-RET-008,recall,hidden_eval,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-RET-009,recall,hidden_eval,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-RET-010,recall,private_holdout,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-SKILL-004,skill,hidden_eval,0.3,0.3,0.0,0.3,0.3,,,0.0,0.0,0.0,1.0,,,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-SKILL-005,skill,hidden_eval,0.4,0.4,0.0,0.4,0.4,,,0.0,0.0,0.0,,,,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-SKILL-006,skill,hidden_eval,0.3,0.3,0.0,0.3,0.3,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-SKILL-007,skill,hidden_eval,0.3,0.3,0.0,0.3,0.3,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-SKILL-008,skill,private_holdout,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-TIME-005,time,hidden_eval,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-TIME-006,time,hidden_eval,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-TIME-007,time,hidden_eval,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-TIME-008,time,hidden_eval,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-TIME-009,time,hidden_eval,0.15,0.15,0.0,0.15,0.15,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-TIME-010,time,private_holdout,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-X-004,cross,hidden_eval,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-X-005,cross,hidden_eval,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-X-006,cross,hidden_eval,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
